Key,en,he,it,es,fr,ar
item_Table_salt,Table Salt,מלח שולחן,Sale da tavola,Sal de mesa,Sel de table,ملح مائدة
item_Sea_salt,Sea Salt,מלח ים,Sale marino,Sal marina,Sel de mer,ملح بحري
item_Himalayan_salt,Himalayan Salt,מלח הימלאיה,Sale dell'Himalaya,Sal del Himalaya,Sel de l'Himalaya,ملح هيمالايا
item_Black_pepper_ground_and_peppercorns_White_pepper,Black Pepper,פלפל שחור,Pepe nero,Pimienta negra,Poivre noir,فلفل أسود
item_Black_pepper,Black Pepper,פלפל שחור,Pepe nero,Pimienta negra,Poivre noir,فلفل أسود
item_White_pepper,White Pepper,פלפל לבן,Pepe bianco,Pimienta blanca,Poivre blanc,فلفل أبيض
item_Paprika_sweet_hot_smoked_,Paprika,פפריקה,Paprica,Pimentón,Paprika,بابريكا
item_Cumin_Turmeric_Coriander_ground_and_seeds_,Cumin & Turmeric,כמון וכורכום,Cumino e curcuma,Comino y cúrcuma,Cumin et curcuma,كمون وكركم
item_Cumin,Cumin,כמון,Cumino,Comino,Cumin,كمون
item_Turmeric,Turmeric,כורכום,Curcuma,Cúrcuma,Curcuma,كركم
item_Coriander,Coriander,כוסברה (תבלין),Coriandolo,Cilantro,Coriandre,كزبرة
item_Cinnamon_ground_and_sticks_Nutmeg_Cloves_Cardamom,Cinnamon,קינמון,Cannella,Canela,Cannelle,قرفة
item_Cinnamon,Cinnamon,קינמון,Cannella,Canela,Cannelle,قرفة
item_Nutmeg,Nutmeg,אגוז מוסקט,Noce moscata,Nuez moscada,Noix de muscade,جوزة الطيب
item_Cloves,Cloves,ציפורן,Chiodi di garofano,Clavos,Clous de girofle,قرنفل
item_Cardamom,Cardamom,הל,Cardamomo,Cardamomo,Cardamome,هيل
item_Ginger_ground_Allspice_Star_anise,Ginger,ג'ינגר,Zenzero,Jengibre,Gingembre,زنجبيل
item_Ginger,Ginger,ג'ינגר,Zenzero,Jengibre,Gingembre,زنجبيل
item_Allspice,Allspice,פלפל אנגלי,Pimento,Pimienta de Jamaica,Piment de la Jamaïque,بهار حلو
item_Star_anise,Star Anise,כוכב אניס,Anice stellato,Anís estrellado,Anis étoilé,يانسون نجمي
item_Chili_powder_Crushed_red_pepper_flakes_Cayenne_pepper,Chili Powder,צ'ילי גרוס,Peperoncino,Chile en polvo,Piment en poudre,فلفل حار
item_Chili_powder,Chili Powder,אבקת צ'ילי,Peperoncino in polvere,Chile en polvo,Poudre de chili,مسحوق الفلفل الحار
item_Crushed_red_pepper_flakes,Red Pepper Flakes,שבבי פלפל צ'ילי,Fiocchi di peperoncino,Hojuelas de pimiento rojo,Flocons de piment rouge,رقائق فلفل أحمر
item_Cayenne_pepper,Cayenne Pepper,פלפל קאיין,Pepe di Cayenna,Pimienta de Cayena,Piment de Cayenne,فلفل حريف
item_Curry_powder_Garam_Masala_Ras_el_Hanout,Curry Powder,אבקת קארי,Curry,Curry,Curry,كاري
item_Curry_powder,Curry Powder,אבקת קארי,Curry in polvere,Curry en polvo,Poudre de curry,مسحوق الكاري
item_Garam_Masala,Garam Masala,גראם מסאלה,Garam Masala,Garam Masala,Garam Masala,غارام ماسالا
item_Ras_el_Hanout,Ras el Hanout,ראס אל חנות,Ras el Hanout,Ras el Hanout,Ras el Hanout,رأس الحانوت
item_Onion_powder_Garlic_powder,Garlic Powder,אבקת שום,Aglio in polvere,Ajo en polvo,Ail en poudre,ثوم بودرة
item_Onion_powder,Onion Powder,אבקת בצל,Cipolla in polvere,Cebolla en polvo,Poudre d'oignon,مسحوق البصل
item_Garlic_powder,Garlic Powder,אבקת שום,Aglio in polvere,Ajo en polvo,Poudre d'ail,مسحوق الثوم
item_Oregano_Basil_Thyme_Rosemary_dried_,Oregano & Basil,אורגנו ובזיליקום,Origano e basilico,Orégano y albahaca,Origan et basilic,أوريجانو وريحان
item_Oregano,Oregano,אורגנו,Origano,Orégano,Origan,أوريغانو
item_Basil,Basil,בזיליקום,Basilico,Albahaca,Basilic,ريحان
item_Thyme,Thyme,טימין,Timo,Tomillo,Thym,زعتر
item_Rosemary,Rosemary,רוזמרין,Rosmarino,Romero,Romarin,إكليل الجبل
item_Parsley_Dill_Tarragon_Sage_dried_,Dried Herbs,עשבי תיבול יבשים,Erbe essiccate,Hierbas secas,Herbes séchées,أعشاب مجففة
item_Dill,Dill,שמיר,Aneto,Eneldo,Aneth,شبت
item_Tarragon,Tarragon,טרגון,Dragoncello,Estragón,Estragon,طرخون
item_Sage,Sage,מרווה,Salvia,Salvia,Sauge,مريمية
item_Bay_leaves_Saffron,Bay Leaves,עלי דפנה,Foglie di alloro,Hojas de laurel,Feuilles de laurier,أوراق الغار
item_Bay_leaves,Bay Leaves,עלי דפנה,Foglie di alloro,Hojas de laurel,Feuilles de laurier,ورق الغار
item_Saffron,Saffron,זעפרן,Zafferano,Azafrán,Safran,زعفران
item_Sumac_Za_atar_Baharat,Za'atar,זעתר וסומאק,Za'atar,Za'atar,Za'atar,زعتر
item_Sumac,Sumac,סומאק,Sommacco,Zumaque,Sumac,سماق
item_Za_atar,Za'atar,זעתר,Za'atar,Za'atar,Za'atar,زعتر
item_Baharat,Baharat,בהרט,Baharat,Baharat,Baharat,بهارات
item_Mustard_seeds_Fennel_seeds,Mustard Seeds,זרעי חרדל,Semi di senape,Semillas de mostaza,Graines de moutarde,بذور الخردل
item_Mustard_seeds,Mustard Seeds,זרעי חרדל,Semi di senape,Semillas de mostaza,Graines de moutarde,بذور الخردل
item_Fennel_seeds,Fennel Seeds,זרעי שומר,Semi di finocchio,Semillas de hinojo,Graines de fenouil,بذور الشمر
item_Chicken_grill_and_steak_seasoning_blends,Grill Seasoning,תבלין לגריל,Aromi per griglia,Sazonador de parrilla,Assaisonnement grill,بهارات شواء
item_Chicken_seasoning,Chicken Seasoning,תבלין לעוף,Insaporitore per pollo,Sazonador para pollo,Épices pour poulet,بهارات دجاج
item_Grill_seasoning,Grill Seasoning,תבלין לגריל,Insaporitore per griglia,Sazonador de parrilla,Épices pour grillades,بهارات شواء
item_Steak_seasoning,Steak Seasoning,תבלין לסטייק,Insaporitore per bistecca,Sazonador para carne,Épices pour steak,بهارات ستيك
item_Baking_powder_baking_soda_vanilla_extract_yeast,Baking Powder,אבקת אפייה,Lievito in polvere,Polvo de hornear,Levure chimique,بيكنج بودر
item_Baking_powder,Baking Powder,אבקת אפייה,Lievito in polvere,Polvo de hornear,Levure chimique,مسحوق الخبز
item_Baking_soda,Baking Soda,סודה לשתייה,Bicarbonato di sodio,Bicarbonato de sodio,Bicarbonate de soude,بيكربونات الصوديوم
item_Vanilla_extract,Vanilla Extract,תמצית וניל,Estratto di vaniglia,Extracto de vainilla,Extrait de vanille,مستخلص الفانيليا
item_Yeast,Yeast,שמרים,Lievito,Levadura,Levure,خميرة
item_Cocoa_powder_and_chocolate_chips,Cocoa & Chocolate Chips,קקאו ושוקולד צ'יפס,Cacao e gocce,Cacao y chispas,Cacao et pépites,كاكاو ورقائق شوكولاتة
item_Cocoa_powder,Cocoa Powder,קקאו,Cacao in polvere,Cacao en polvo,Poudre de cacao,مسحوق الكاكاو
item_Chocolate_chips,Chocolate Chips,שוקולד צ'יפס,Gocce di cioccolato,Chispas de chocolate,Pépites de chocolat,رقائق الشوكولاتة
item_Ketchup_mayonnaise_mustard,Ketchup & Mayo,קטשופ ומיונז,Ketchup e maionese,Ketchup y mayonesa,Ketchup et mayo,كاتشب ومايونيز
item_Ketchup,Ketchup,קטשופ,Ketchup,Ketchup,Ketchup,كاتشب
item_Mayonnaise,Mayonnaise,מיונז,Maionese,Mayonesa,Mayonnaise,مايونيز
item_Mustard,Mustard,חרדל,Senape,Mostaza,Moutarde,خردل
item_Tomato_paste,Tomato Paste,רסק עגבניות,Concentrato di pomodoro,Pasta de tomate,Concentré de tomates,معجون طماطم
item_Soy_sauce_teriyaki_sweet_chili,Soy Sauce,רוטב סויה,Salsa di soia,Salsa de soja,Sauce soja,صلصة الصويا
item_Soy_sauce,Soy Sauce,רוטב סויה,Salsa di soia,Salsa de soja,Sauce soja,صلصة الصويا
item_Teriyaki_sauce,Teriyaki Sauce,רוטב טריאקי,Salsa teriyaki,Salsa teriyaki,Sauce teriyaki,صلصة ترياكي
item_Sweet_chili_sauce,Sweet Chili Sauce,צ'ילי מתוק,Salsa peperoncino dolce,Salsa de chile dulce,Sauce chili douce,صلصة الفلفل الحلو
item_Chocolate_spread_peanut_butter_jam_raw_tahini_honey,Sweet Spreads,ממרחים מתוקים,Creme dolci,Untables dulces,Pâtes à tartiner sucrées,مربى وزبدة فول سوداني
item_Chocolate_spread,Chocolate Spread,ממרח שוקולד,Crema al cioccolato,Crema de chocolate,Pâte à tartiner au chocolat,شوكولاتة للدهن
item_Peanut_butter,Peanut Butter,חמאת בוטנים,Burro di arachidi,Mantequilla de maní,Beurre de cacahuète,زبدة الفول السوداني
item_Jam,Jam,ריבה,Marmellata,Mermelada,Confiture,مربى
item_Raw_tahini,Raw Tahini,טחינה גולמית,Tahina cruda,Tahini crudo,Tahini cru,طحينة خام
item_Honey,Honey,דבש,Miele,Miel,Miel,عسل
item_Balsamic_vinegar_and_hot_sauce,Vinegar,חומץ,Aceto,Vinagre,Vinaigre,خل
item_Balsamic_vinegar,Balsamic Vinegar,חומץ בלסמי,Aceto balsamico,Vinagre balsámico,Vinaigre balsamique,خل بلسمي
item_Hot_sauce,Hot Sauce,רוטב חריף,Salsa piccante,Salsa picante,Sauce piquante,صلصة حارة
item_Tuna,Tuna,טונה,Tonno,Atún,Thon,تونة
item_Corn_peas_and_carrots_baked_beans,Canned Veggies,שימורי ירקות,Verdure in scatola,Verduras enlatadas,Légumes en conserve,خضروات معلبة
item_Canned_corn,Canned Corn,תירס בשימורים,Mais in scatola,Maíz enlatado,Maïs en conserve,ذرة معلبة
item_Canned_peas_and_carrots,Peas & Carrots,אפונה וגזר,Piselli e carote,Guisantes y zanahorias,Petits pois et carottes,بازيلاء وجزر
item_Baked_beans,Baked Beans,שעועית אפויה,Fagioli al forno,Frijoles horneados,Haricots blancs à la tomate,فاصوليا مطبوخة
item_Olives_pickles,Olives & Pickles,זיתים וחמוצים,Olive e sottaceti,Aceitunas y encurtidos,Olives et cornichons,زيتون ومخللات
item_Olives,Olives,זיתים,Olive,Aceitunas,Olives,زيتون
item_Pickles,Pickles,חמוצים,Sottaceti,Encurtidos,Cornichons,مخللات
item_Crushed_tomatoes_Mutti_polpa_,Crushed Tomatoes,עגבניות מרוסקות,Polpa di pomodoro,Tomate triturado,Tomates concassées,طماطم مهروسة
item_Coconut_milk_and_canned_soups,Coconut Milk,חלב קוקוס,Latte di cocco,Leche de coco,Lait de coco,حليب جوز الهند
item_Coconut_milk,Coconut Milk,חלב קוקוס,Latte di cocco,Leche de coco,Lait de coco,حليب جوز الهند
item_Canned_soups,Canned Soups,מרקים בשימורים,Zuppe in scatola,Sopas enlatadas,Soupes en conserve,حساء معلب
item_Sliced_bread_rolls_pita_bread,Sliced Bread,לחם ופיתות,Pane a fette,Pan de molde,Pain en tranches,خبز وخبز بيتا
item_Sliced_bread,Sliced Bread,לחם פרוס,Pane a fette,Pan de molde,Pain en tranches,خبز مقطع
item_Rolls,Rolls,לחמניות,Panini,Panecillos,Petits pains,لفائف
item_Pita_bread,Pita Bread,פיתות,Pane pita,Pan de pita,Pain pita,خبز بيتا
item_Rice_corn_cakes,Rice Cakes,פריכיות אורז,Gallette di riso,Tortitas de arroz,Galettes de riz,كعك أرز
item_Rice_cakes,Rice Cakes,פריכיות אורז,Gallette di riso,Tortitas de arroz,Galettes de riz,كعك الأرز
item_Corn_cakes,Corn Cakes,פריכיות תירס,Gallette di mais,Tortitas de maíz,Galettes de maïs,كعك الذرة
item_Breadcrumbs,Breadcrumbs,פירורי לחם,Pangrattato,Pan rallado,Chapelure,فتات الخبز
item_Bagels_and_croissants,Bagels,בייגלה וקרואסונים,Bagel,Bagels,Bagels,خبز بيجل
item_Bagels,Bagels,בייגלה,Bagel,Bagels,Bagels,كعك بيغل
item_Croissants,Croissants,קרואסונים,Croissant,Croissants,Croissants,كرواسون
item_Coffee_black_instant_capsules_,Coffee,קפה,Caffè,Café,Café,قهوة
item_Black_coffee,Black Coffee,קפה שחור,Caffè nero,Café solo,Café noir,قهوة سوداء
item_Instant_coffee,Instant Coffee,קפה נמס,Caffè istantaneo,Café instantáneo,Café instantané,قهوة سريعة التحضير
item_Coffee_capsules,Coffee Capsules,קפסולות קפה,Capsule di caffè,Cápsulas de café,Capsules de café,كبسولات قهوة
item_Tea_tea_bags_infusions_,Tea,תה,Tè,Té,Thé,شاي
item_Tea_bags,Tea Bags,תיונים,Bustine di tè,Bolsitas de té,Sachets de thé,أكياس شاي
item_Tea_infusions,Tea Infusions,חליטות תה,Infusi di tè,Infusiones de té,Infusions de thé,شاي أعشاب
item_Mineral_water,Mineral Water,מים מינרליים,Acqua minerale,Agua mineral,Eau minérale,مياه معدنية
item_Juices_and_syrups_raspberry_orange_juice_carbonated_drinks_,Juice,מיצים וסירופים,Succo,Jugo,Jus,عصير
item_Juices,Juices,מיצים,Succhi,Jugos,Jus,عصائر
item_Syrups,Syrups,סירופים,Sciroppi,Siropes,Sirops,عصائر مركزة
item_Carbonated_drinks,Carbonated Drinks,משקאות מוגזים,Bevande gassate,Bebidas carbonatadas,Boissons gazeuses,مشروبات غازية
item_Sparkling_water_and_energy_drinks,Sparkling Water,סודה ומשקאות אנרגיה,Acqua frizzante,Agua con gas,Eau gazeuse,مياه غازية
item_Sparkling_water,Sparkling Water,סודה,Acqua frizzante,Agua con gas,Eau gazeuse,مياه غازية
item_Energy_drinks,Energy Drinks,משקאות אנרגיה,Bevande energetiche,Bebidas energéticas,Boissons énergisantes,مشروبات طاقة
item_Bamba_Bisli_chips_pretzels,Salty Snacks,חטיפים מלוחים,Snack salati,Snacks salados,Snacks salés,وجبات خفيفة مالحة
item_Bamba,Bamba,במבה,Bamba,Bamba,Bamba,بامبا
item_Bisli,Bisli,ביסלי,ביסלי,Bisli,Bisli,بيسلي
item_Chips,Chips,צ'יפס,Patatine,Patatas fritas,Chips,شيبس
item_Pretzels,Pretzels,בייגלה,Salatini,Pretzels,Bretzels,بريتزل
item_Chocolate_cookies_wafers,Chocolate & Cookies,שוקולד ועוגיות,Cioccolato e biscotti,Chocolate y galletas,Chocolat et biscuits,شوكولاتة وبسكويت
item_Chocolate,Chocolate,שוקולד,Cioccolato,Chocolate,Chocolat,شوكولاتة
item_Cookies,Cookies,עוגיות,Biscotti,Galletas,Biscuits,بسكويت
item_Wafers,Wafers,ופלים,Wafer,Obleas,Gaufrettes,ويفر
item_Nuts_and_seeds_sunflower_seeds_almonds_walnuts_,Nuts & Seeds,פיצוחים ואגוזים,Noci e semi,Nueces y semillas,Noix et graines,مكسرات وبذور
item_Sunflower_seeds,Sunflower Seeds,גרעיני חמנייה,Semi di girasole,Semillas de girasol,Graines de tournesol,بذور دوار الشمس
item_Almonds,Almonds,שקדים,Mandorle,Almendras,Amandes,لوز
item_Walnuts,Walnuts,אגוזי מלך,Noci,Nueces,Noix,جوز
item_Popcorn_and_dried_fruits,Popcorn & Dried Fruit,פופקורן ופירות יבשים,Popcorn e frutta secca,Palomitas y frutos secos,Pop-corn et fruits secs,فشار وفواكه مجففة
item_Popcorn,Popcorn,פופקורן,Popcorn,Palomitas,Pop-corn,فشار
item_Dried_fruits,Dried Fruits,פירות יבשים,Frutta secca,Frutas secas,Fruits secs,فواكه مجففة
item_Multivitamin,Multivitamin,מולטי-ויטמין,Multivitaminico,Multivitamina,Multivitamine,متعدد الفيتامينات
item_Vitamin_D_and_Vitamin_C,Vitamin D & C,ויטמין D ו-C,Vitamina D e C,Vitamina D y C,Vitamine D et C,فيتامين D و C
item_Vitamin_D,Vitamin D,ויטמין D,Vitamina D,Vitamina D,Vitamine D,فيتامين د
item_Vitamin_C,Vitamin C,ויטמין C,Vitamina C,Vitamina C,Vitamine C,فيتامين سي
item_Omega_3,Omega 3,אומגה 3,Omega 3,Omega 3,Oméga 3,أوميغا 3
item_Iron_Calcium_and_B12,Iron & Calcium,ברזל וסידן,Ferro e calcio,Hierro y calcio,Fer et calcium,حديد وكالسيوم
item_Iron_supplement,Iron Supplement,תוסף ברזל,Integratore di ferro,Suplemento de hierro,Supplément de fer,مكمل الحديد
item_Calcium_supplement,Calcium Supplement,תוסף סידן,Integratore di calcio,Suplemento de calcio,Supplément de calcium,مكمل الكالسيوم
item_B12_supplement,B12 Supplement,תוסף B12,Integratore B12,Suplemento B12,Supplément B12,مكمل ب12
item_Protein_powder,Protein Powder,אבקת חלבון,Proteine in polvere,Proteína en polvo,Protéine en poudre,بروتين بودرة
item_Probiotics_and_Magnesium,Probiotics,פרוביוטיקה,Probiotici,Probióticos,Probiotiques,بروبيوتيك
item_Probiotics,Probiotics,פרוביוטיקה,Probiotici,Probióticos,Probiotiques,بروبيوتيك
item_Magnesium,Magnesium,מגנזיום,Magnesio,Magnesio,Magnésium,مغنيسيوم
item_Floor_cleaner,Floor Cleaner,נוזל רצפות,Detergente per pavimenti,Limpiador de suelos,Nettoyant pour sol,منظف أرضيات
item_Bleach,Bleach,אקונומיקה,Candeggina,Lejía,Eau de Javel,مبيض
item_Window_cleaner_spray,Window Cleaner,נוזל חלונות,Lavavetri,Limpiacristales,Nettoyant vitres,منظف زجاج
item_Degreaser,Degreaser,מסיר שומנים,Sgrassatore,Desengrasante,Dégraissant,مزيل دهون
item_Toilet_cleaner_spray_liquid,Toilet Cleaner,נוזל אסלות,Detergente per WC,Limpiador de inodoros,Nettoyant WC,منظف تواليت
item_Insect_repellent_spray_K300_etc__,Insect Repellent,קוטל חרקים,Repellente insetti,Repelente de insectos,Répulsif insectes,طارد حشرات
item_Magic_erasers_and_furniture_polish,Magic Erasers,ספוג הפלא,Gomme magiche,Borradores mágicos,Éponges magiques,إسفنج سحري
item_Drain_unblocker_liquid,Drain Unblocker,פותח סתימות,Sgorgante,Desatascador,Déboucheur d'évier,فاتح بالوعات
item_Laundry_detergent_powder_gel_capsules_,Laundry Detergent,חומר כביסה,Detersivo per bucato,Detergente de ropa,Lessive,منظف غسيل
item_Laundry_detergent_powder,Laundry Detergent Powder,אבקת כביסה,Detersivo in polvere,Detergente en polvo,Lessive en poudre,مسحوق غسيل
item_Laundry_detergent_gel,Laundry Detergent Gel,ג'ל כביסה,Detersivo gel,Detergente en gel,Lessive liquide,جل غسيل
item_Laundry_capsules,Laundry Capsules,קפסולות כביסה,Capsule bucato,Cápsulas de lavado,Capsules de lessive,كبسولات غسيل
item_Fabric_softener,Fabric Softener,מרכך כביסה,Ammorbidente,Suavizante,Adoucissant,منعم أقمشة
item_Stain_remover_spray_or_powder_,Stain Remover,מסיר כתמים,Smacchiatore,Quitamanchas,Détachant,مزيل بقع
item_Stain_remover_spray,Stain Remover Spray,תרסיס מסיר כתמים,Smacchiatore spray,Quitamanchas spray,Détachant spray,بخاخ مزيل بقع
item_Stain_remover_powder,Stain Remover Powder,אבקת מסיר כתמים,Smacchiatore polvere,Quitamanchas polvo,Détachant poudre,مسحوق مزيل بقع
item_Color_catcher_sheets,Color Catcher,דפי כביסה,Fogli acchiappacolore,Toallitas atrapacolor,Lingettes anti-décoloration,ورق صائد الألوان
item_Dish_soap,Dish Soap,סבון כלים,Detersivo piatti,Jabón de platos,Liquide vaisselle,صابون أطباق
item_Dishwasher_tablets_capsules,Dishwasher Tablets,טבליות למדיח,Pastiglie lavastoviglie,Pastillas lavavajillas,Pastilles lave-vaisselle,أقراص غسالة أطباق
item_Dishwasher_tablets,Dishwasher Tablets,טבליות למדיח,Pastiglie lavastoviglie,Pastillas lavavajillas,Pastilles lave-vaisselle,أقراص غسالة أطباق
item_Dishwasher_capsules,Dishwasher Capsules,קפסולות למדיח,Capsule lavastoviglie,Cápsulas lavavajillas,Capsules lave-vaisselle,كبسولات غسالة أطباق
item_Dishwasher_salt_rinse_aid,Dishwasher Salt,מלח למדיח,Sale lavastoviglie,Sal para lavavajillas,Sel lave-vaisselle,ملح غسالة أطباق
item_Dishwasher_salt,Dishwasher Salt,מלח למדיח,Sale lavastoviglie,Sal lavavajillas,Sel lave-vaisselle,ملح غسالة أطباق
item_Rinse_aid,Rinse Aid,נוזל הברקה,Brillantante,Abrillantador,Liquide de rinçage,مساعد شطف
item_Steel_wool_scrubbing_pads,Steel Wool,ברזלית,Lana d'acciaio,Estropajos de acero,Paille de fer,سلك غسيل
item_Garbage_bags_large_and_small_,Garbage Bags,שקיות אשפה,Sacchi spazzatura,Bolsas de basura,Sacs poubelle,أكياس قمامة
item_Large_garbage_bags,Large Garbage Bags,שקיות אשפה גדולות,Sacchi spazzatura grandi,Bolsas basura grandes,Grands sacs poubelle,أكياس قمامة كبيرة
item_Small_garbage_bags,Small Garbage Bags,שקיות אשפה קטנות,Sacchi spazzatura piccoli,Bolsas basura pequeñas,Petits sacs poubelle,أكياس قمامة صغيرة
item_Sponges_and_scouring_pads,Sponges,ספוגים,Spugne,Esponjas,Éponges,إسفنج
item_Sponges,Sponges,ספוגים,Spugne,Esponjas,Éponges,إسفنج
item_Scouring_pads,Scouring Pads,כריות קרצוף,Spugnette abrasive,Estropajos,Tampons à récurer,وسادات فرك
item_Cleaning_cloths_microfiber_cleaning_wet_wipes,Microfiber Cloths,מטליות מיקרופייבר,Panni in microfibra,Paños de microfibra,Chiffons microfibre,فوط ميكروفايبر
item_Microfiber_cleaning_cloths,Microfiber Cloths,מטליות מיקרופייבר,Panni in microfibra,Paños de microfibra,Chiffons microfibre,فوط ميكروفايبر
item_Cleaning_wet_wipes,Cleaning Wet Wipes,מגבונים לניקוי,Salviette detergenti,Toallitas limpiadoras,Lingettes nettoyantes,مناديل تنظيف مبللة
item_Floor_rags,Floor Rags,מטליות רצפה,Stracci per pavimenti,Trapos de suelo,Serpillières,مماسح أرضية
item_Aluminum_foil_baking_paper_cling_film_sandwich_bags,Aluminum Foil & Wrap,נייר כסף ונצמד,Pellicola e alluminio,Papel de aluminio y film,Papier alu et film,ورق ألمنيوم وتغليف
item_Aluminum_foil,Aluminum Foil,נייר כסף,Pellicola di alluminio,Papel de aluminio,Papier d'aluminium,ورق ألمنيوم
item_Baking_paper,Baking Paper,נייר אפייה,Carta da forno,Papel de horno,Papier sulfurisé,ورق خبز
item_Cling_film,Cling Film,נייר נצמד,Pellicola trasparente,Film transparente,Film étirable,ورق تغليف شفاف
item_Sandwich_bags,Sandwich Bags,שקיות כריכים,Sacchetti per panini,Bolsas para sándwiches,Sacs à sandwich,أكياس سندويشات
item_Rubber_cleaning_gloves,Rubber Gloves,כפפות גומי,Guanti di gomma,Guantes de goma,Gants en caoutchouc,قفازات مطاطية
item_Shampoo_and_hair_conditioner,Shampoo,שמפו ומרכך,Shampoo,Champú,Shampoing,شامبو
item_Shampoo,Shampoo,שמפו,Shampoo,Champú,Shampoing,شامبو
item_Hair_conditioner,Hair Conditioner,מרכך שיער,Balsamo,Acondicionador,Après-shampoing,بلسم شعر
item_Body_wash_liquid_bar_face_wash,Body Wash,סבון גוף,Bagnoschiuma,Gel de ducha,Gel douche,غسول جسم
item_Body_wash,Body Wash,סבון גוף,Bagnoschiuma,Gel de ducha,Gel douche,غسول جسم
item_Face_wash,Face Wash,סבון פנים,Detergente viso,Limpiador facial,Nettoyant visage,غسول وجه
item_Deodorant,Deodorant,דאודורנט,Deodorante,Desodorante,Déodorant,مزيل عرق
item_Toothpaste_mouthwash,Toothpaste,משחת שיניים,Dentifricio,Pasta de dientes,Dentifrice,معجون أسنان
item_Toothpaste,Toothpaste,משחת שיניים,Dentifricio,Pasta de dientes,Dentifrice,معجون أسنان
item_Mouthwash,Mouthwash,מי פה,Colluttorio,Enjuague bucal,Bain de bouche,غسول فم
item_Toothbrushes,Toothbrushes,מברשות שיניים,Spazzolini,Cepillos de dientes,Brosses à dents,فرش أسنان
item_Razors_shaving_cream_gel,Razors,סכיני גילוח,Rasoi,Maquinillas,Rasoirs,شفرات حلاقة
item_Razors,Razors,סכיני גילוח,Rasoi,Maquinillas,Rasoirs,شفرات حلاقة
item_Shaving_cream,Shaving Cream,קצף גילוח,Schiuma da barba,Espuma de afeitar,Mousse à raser,كريم حلاقة
item_Feminine_hygiene_products_pads_tampons_panty_liners_,Feminine Hygiene,היגיינה נשית,Igiene femminile,Higiene femenina,Hygiène féminine,نظافة نسائية
item_Feminine_pads,Feminine Pads,תחבושות היגייניות,Assorbenti,Compresas,Serviettes hygiéniques,فوط صحية
item_Tampons,Tampons,טמפונים,Assorbenti interni,Tampones,Tampons,سدادات قطنية
item_Panty_liners,Panty Liners,מגיני תחתון,Salvaslip,Salvaslips,Protège-slips,فوط يومية
item_Cotton_swabs_cotton_balls,Cotton Swabs,צמר גפן וקיסמים,Cotton fioc,Hisopos,Coton-tiges,أعواد قطنية
item_Cotton_swabs,Cotton Swabs,קיסמי אוזניים,Cotton fioc,Hisopos,Coton-tiges,أعواد قطنية
item_Cotton_balls,Cotton Balls,צמר גפן,Batuffoli di cotone,Bolas de algodón,Boules de coton,كرات قطنية
item_Dental_floss_and_interdental_brushes,Dental Floss,חוט דנטלי,Filo interdentale,Hilo dental,Fil dentaire,خيط أسنان
item_Dental_floss,Dental Floss,חוט דנטלי,Filo interdentale,Hilo dental,Fil dentaire,خيط أسنان
item_Interdental_brushes,Interdental Brushes,קיסמים דנטליים,Scovolini,Cepillos interdentales,Brossettes interdentaires,فرش بين الأسنان
item_Sunscreen_and_body_lotion,Sunscreen,קרם הגנה,Crema solare,Protector solar,Crème solaire,واقي شمس
item_Sunscreen,Sunscreen,קרם הגנה,Crema solare,Protector solar,Crème solaire,واقي شمس
item_Body_lotion,Body Lotion,קרם גוף,Crema corpo,Loción corporal,Lotion pour le corps,لوشن جسم
item_Hair_styling_gel_spray,Hair Gel,ג'ל לשיער,Gel per capelli,Gel para cabello,Gel cheveux,جل شعر
item_Hair_styling_gel,Hair Gel,ג'ל לשיער,Gel per capelli,Gel para el cabello,Gel coiffant,جل شعر
item_Hair_styling_spray,Hair Spray,ספריי לשיער,Lacca per capelli,Laca para el cabello,Laque pour cheveux,بخاخ شعر
item_Toilet_paper,Toilet Paper,נייר טואלט,Carta igienica,Papel higiénico,Papier toilette,ورق تواليت
item_Paper_towels,Paper Towels,נייר סופג,Tovaglioli di carta,Toallas de papel,Essuie-tout,مناشف ورقية
item_Wet_wipes,Wet Wipes,מגבונים לחים,Salviette umidificate,Toallitas húmedas,Lingettes humides,مناديل مبللة
item_Tissues,Tissues,טישו,Fazzoletti,Pañuelos,Mouchoirs,مناديل ورقية
item_Makeup_remover_wipes,Makeup Wipes,מגבונים להסרת איפור,Salviette struccanti,Toallitas desmaquillantes,Lingettes démaquillantes,مناديل إزالة مكياج
item_Pain_relievers_and_fever_reducers_Acamol_Nurofen_etc__,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات الألم
item_Pain_relievers,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات ألم
item_Fever_reducers,Fever Reducers,מורידי חום,Antipiretici,Antitérmicos,Antipyrétiques,خافضات حرارة
item_Band_aids_bandages_Polydine_rubbing_alcohol_for_disinfection,Band-aids,פלסטרים,Cerotti,Tiritas,Pansements,بلاستر
item_Band_aids,Band-Aids,פלסטרים,Cerotti,Tiritas,Pansements,بلاستر
item_Bandages,Bandages,תחבושות,Bende,Vendas,Bandages,ضمادات
item_Polydine,Polydine,פולידין,Polydine,Polydine,Polydine,بوليدين
item_Rubbing_alcohol,Rubbing Alcohol,אלכוהול לחיטוי,Alcol denaturato,Alcohol isopropílico,Alcool à friction,كحول طبي
